isbn	published	edition (supposed)	pages	publisher	authors	title	subtitle	category	full JSON	info link	# of tickets
9781118957400	2014-12-31		439	John Wiley & Sons	Jeanne Boyarsky, Scott Selikoff	OCA: Oracle Certified Associate Java SE 8 Programmer I Study Guide	Exam 1Z0-808	Computers	https://www.googleapis.com/books/v1/volumes/nmSzBQAAQBAJ	http://books.google.gr/books?id=nmSzBQAAQBAJ&dq=isbn:9781118957400&hl=&source=gbs_api	3
9781119770923	2021-05-11		256	Sybex	James Boyce	Microsoft Certified Azure Fundamentals Study Guide	Exam AZ-900	Computers	https://www.googleapis.com/books/v1/volumes/yVGmzQEACAAJ	http://books.google.gr/books?id=yVGmzQEACAAJ&dq=isbn:9781119770923&hl=&source=gbs_api	1
9781119669883	2020-04-07		464	John Wiley & Sons	Jon Buhagiar	CCNA Certification Practice Tests	Exam 200-301	Computers	https://www.googleapis.com/books/v1/volumes/UInVDwAAQBAJ	http://books.google.gr/books?id=UInVDwAAQBAJ&dq=isbn:9781119669883&hl=&source=gbs_api	1
9781119909408	2022-10-25	3		Sybex	Mike Chapple, David Seidl	(ISC)2 CCSP Certified Cloud Security Professional Official Practice Tests		Computers	https://www.googleapis.com/books/v1/volumes/Zmv3zgEACAAJ	http://books.google.gr/books?id=Zmv3zgEACAAJ&dq=isbn:9781119909408&hl=&source=gbs_api	13
9781119909378	2022-09-07		384	Sybex	Mike Chapple, David Seidl	(ISC)2 CCSP Certified Cloud Security Professional Official Study Guide		Computers	https://www.googleapis.com/books/v1/volumes/8JH3zgEACAAJ	http://books.google.gr/books?id=8JH3zgEACAAJ&dq=isbn:9781119909378&hl=&source=gbs_api	1
9781119787631	2021-05-25			Sybex	Mike Chapple, David Seidl	(ISC)2 CISSP Certified Information Systems Security Professional Official Practice Tests		Computers	https://www.googleapis.com/books/v1/volumes/wKnizQEACAAJ	http://books.google.gr/books?id=wKnizQEACAAJ&dq=isbn:9781119787631&hl=&source=gbs_api	9
9781119786238	2021-05-04	9	1100	Sybex	Mike Chapple, James Michael Stewart, Darril Gibson	(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide		Computers	https://www.googleapis.com/books/v1/volumes/Y1jazQEACAAJ	http://books.google.gr/books?id=Y1jazQEACAAJ&dq=isbn:9781119786238&hl=&source=gbs_api	1
9781119852070	2021-12-02		320	Sybex	Mike Chapple, David Seidl	(ISC)2 SSCP Systems Security Certified Practitioner Official Practice Tests		Computers	https://www.googleapis.com/books/v1/volumes/tgt_zgEACAAJ	http://books.google.gr/books?id=tgt_zgEACAAJ&dq=isbn:9781119852070&hl=&source=gbs_api	2
9781119801931	2022-01-12		448	Sybex	Mike Chapple	Certified Information Security Manager CISM Study Guide		Computers	https://www.googleapis.com/books/v1/volumes/ddELzgEACAAJ	http://books.google.gr/books?id=ddELzgEACAAJ&dq=isbn:9781119801931&hl=&source=gbs_api	2
9781394182930	2023-08-01	3		Sybex	Mike Chapple, David Seidl	CompTIA CySA+ Practice Tests	Exam CS0-003	Computers	https://www.googleapis.com/books/v1/volumes/z1C6zwEACAAJ	http://books.google.gr/books?id=z1C6zwEACAAJ&dq=isbn:9781394182930&hl=&source=gbs_api	9
9781119845256	2022-04-12		368	Sybex	Mike Chapple, Sharif Nijim	CompTIA Data+ Study Guide	Exam DA0-001	Computers	https://www.googleapis.com/books/v1/volumes/OiGQzgEACAAJ	http://books.google.gr/books?id=OiGQzgEACAAJ&dq=isbn:9781119845256&hl=&source=gbs_api	7
9781119898153	2023-02-01			Sybex	Mike Chapple, Craig Zacker	CompTIA Network+ CertMike: Prepare. Practice. Pass the Test! Get Certified!	Exam N10-008	Computers	https://www.googleapis.com/books/v1/volumes/gOk5zwEACAAJ	http://books.google.gr/books?id=gOk5zwEACAAJ&dq=isbn:9781119898153&hl=&source=gbs_api	1
9781119823810	2021-12-21	2	544	Sybex	Mike Chapple, David Seidl	CompTIA PenTest+ Study Guide	Exam PT0-002	Computers	https://www.googleapis.com/books/v1/volumes/rOhszgEACAAJ	http://books.google.gr/books?id=rOhszgEACAAJ&dq=isbn:9781119823810&hl=&source=gbs_api	1
9781119755463	2021-06-09		560	Sybex	Mike Chapple, Joe Shelley	IAPP CIPP / US Certified Information Privacy Professional Study Guide		Computers	https://www.googleapis.com/books/v1/volumes/lWnazQEACAAJ	http://books.google.gr/books?id=lWnazQEACAAJ&dq=isbn:9781119755463&hl=&source=gbs_api	2
9781119862918	2022-04-12		1512	Sybex	Quentin Docter, Jon Buhagiar	CompTIA A+ Complete Study Guide	Core 1 Exam 220-1101 and Core 2 Exam 220-1102	Computers	https://www.googleapis.com/books/v1/volumes/fz2azgEACAAJ	http://books.google.gr/books?id=fz2azgEACAAJ&dq=isbn:9781119862918&hl=&source=gbs_api	2
9781119513124	2018-08-28	2	678	John Wiley & Sons	Quentin Docter	CompTIA IT Fundamentals (ITF+) Study Guide	Exam FC0-U61	Computers	https://www.googleapis.com/books/v1/volumes/uOxlDwAAQBAJ	http://books.google.gr/books?id=uOxlDwAAQBAJ&dq=isbn:9781119513124&hl=&source=gbs_api	1
9781119892489	2022-11-01	2		Sybex	Brett J. Feddersen	CompTIA Project+ Practice Tests	Exam PK0-005	Computers	https://www.googleapis.com/books/v1/volumes/76xGzwEACAAJ	http://books.google.gr/books?id=76xGzwEACAAJ&dq=isbn:9781119892489&hl=&source=gbs_api	1
9781119892458	2022-10-04	3		Sybex	Kim Heldman	CompTIA Project+ Study Guide	Exam PK0-005	Computers	https://www.googleapis.com/books/v1/volumes/WxFFzwEACAAJ	http://books.google.gr/books?id=WxFFzwEACAAJ&dq=isbn:9781119892458&hl=&source=gbs_api	2
9781119659181	2020-02-11		899	John Wiley & Sons	Todd Lammle	CCNA Certification Study Guide, Volume 2	Exam 200-301	Computers	https://www.googleapis.com/books/v1/volumes/adjIDwAAQBAJ	http://books.google.gr/books?id=adjIDwAAQBAJ&dq=isbn:9781119659181&hl=&source=gbs_api	3
9781119811633	2021-10-19	5	1040	Sybex	Todd Lammle	CompTIA Network+ Study Guide	Exam N10-008	Computers	https://www.googleapis.com/books/v1/volumes/uaSRzgEACAAJ	http://books.google.gr/books?id=uaSRzgEACAAJ&dq=isbn:9781119811633&hl=&source=gbs_api	4
9781119861072	2022-04-12	5	704	Sybex	Troy McMillan	CompTIA A+ Complete Review Guide	Core 1 Exam 220-1101 and Core 2 Exam 220-1102	Computers	https://www.googleapis.com/books/v1/volumes/dYaazgEACAAJ	http://books.google.gr/books?id=dYaazgEACAAJ&dq=isbn:9781119861072&hl=&source=gbs_api	6
9781119891437	2022-09-27	2		Sybex	Troy McMillan	CompTIA Server+ Study Guide	Exam SK0-005	Computers	https://www.googleapis.com/books/v1/volumes/2TPhzgEACAAJ	http://books.google.gr/books?id=2TPhzgEACAAJ&dq=isbn:9781119891437&hl=&source=gbs_api	3
9781119800286	2021-08-03		592	Sybex	Ric Messier	CEH v11 Certified Ethical Hacker Study Guide		Computers	https://www.googleapis.com/books/v1/volumes/FFELzgEACAAJ	http://books.google.gr/books?id=FFELzgEACAAJ&dq=isbn:9781119800286&hl=&source=gbs_api	1
9781394186921	2023-05-09			Sybex	Ric Messier	CEH v12 Certified Ethical Hacker Study Guide with 750 Practice Test Questions		Computers	https://www.googleapis.com/books/v1/volumes/mOh3zwEACAAJ	http://books.google.gr/books?id=mOh3zwEACAAJ&dq=isbn:9781394186921&hl=&source=gbs_api	2
9781119982623	2022-11-08	4	464	Sybex	Ben Piper, David Clinton	AWS Certified Solutions Architect Study Guide with 900 Practice Test Questions	Associate (SAA-C03) Exam	Computers	https://www.googleapis.com/books/v1/volumes/gQgKzwEACAAJ	http://books.google.gr/books?id=gQgKzwEACAAJ&dq=isbn:9781119982623&hl=&source=gbs_api	38
9781119810865	2021-09-15	3	432	Sybex	Ben Piper	CompTIA Cloud+ Study Guide	Exam CV0-003	Computers	https://www.googleapis.com/books/v1/volumes/ctsszgEACAAJ	http://books.google.gr/books?id=ctsszgEACAAJ&dq=isbn:9781119810865&hl=&source=gbs_api	1
9781119426738	2019-05-29	2	725	John Wiley & Sons	Sandra M. Reed	PHR and SPHR Professional in Human Resources Certification Complete Deluxe Study Guide	2018 Exams	Computers	https://www.googleapis.com/books/v1/volumes/32WRDwAAQBAJ	http://books.google.gr/books?id=32WRDwAAQBAJ&dq=isbn:9781119426738&hl=&source=gbs_api	1
9781119805489	2022-01-06		496	Sybex	Sandra M. Reed	SHRM Society for Human Resource Management Complete Study Guide	SHRM-CP Exam and SHRM-SCP Exam	Business & Economics	https://www.googleapis.com/books/v1/volumes/JmxKzgEACAAJ	http://books.google.gr/books?id=JmxKzgEACAAJ&dq=isbn:9781119805489&hl=&source=gbs_api	2
9781119864585	2022-04-05		976	Sybex	Scott Selikoff, Jeanne Boyarsky	OCP Oracle Certified Professional Java SE 17 Developer Study Guide	Exam 1Z0-829	Computers	https://www.googleapis.com/books/v1/volumes/bGybzgEACAAJ	http://books.google.gr/books?id=bGybzgEACAAJ&dq=isbn:9781119864585&hl=&source=gbs_api	5
9781119705154	2022-05-10		592	Sybex	Rithin Skaria	MCA Microsoft Certified Associate Azure Administrator Study Guide	Exam AZ-104	Computers	https://www.googleapis.com/books/v1/volumes/gulDzwEACAAJ	http://books.google.gr/books?id=gulDzwEACAAJ&dq=isbn:9781119705154&hl=&source=gbs_api	4
9781119879619	2022-08-02	3	272	Sybex	Steve Suehring	CompTIA Linux+ Practice Tests	Exam XK0-005	Computers	https://www.googleapis.com/books/v1/volumes/ARs4zwEACAAJ	http://books.google.gr/books?id=ARs4zwEACAAJ&dq=isbn:9781119879619&hl=&source=gbs_api	1
9781119611097	2019-10-08		320	John Wiley & Sons	Steve Suehring	LPIC-1 Linux Professional Institute Certification Practice Tests	Exam 101-500 and Exam 102-500	Computers	https://www.googleapis.com/books/v1/volumes/w92sDwAAQBAJ	http://books.google.gr/books?id=w92sDwAAQBAJ&dq=isbn:9781119611097&hl=&source=gbs_api	1
9781119871446	2023-03-01	2		Sybex	Dan Sullivan	Google Cloud Certified Associate Cloud Engineer Study Guide		Computers	https://www.googleapis.com/books/v1/volumes/mTmkzgEACAAJ	http://books.google.gr/books?id=mTmkzgEACAAJ&dq=isbn:9781119871446&hl=&source=gbs_api	1
9781119871057	2022-06-21	2		Sybex	Dan Sullivan	Google Cloud Certified Professional Cloud Architect Study Guide		Computers	https://www.googleapis.com/books/v1/volumes/mI21zgEACAAJ	http://books.google.gr/books?id=mI21zgEACAAJ&dq=isbn:9781119871057&hl=&source=gbs_api	1
9781119803164	2021-10-19	4	624	Sybex	Jeff T. Parker	CASP+ CompTIA Advanced Security Practitioner Study Guide	Exam CAS-004	Computers	https://www.googleapis.com/books/v1/volumes/Q5RJzgEACAAJ	http://books.google.gr/books?id=Q5RJzgEACAAJ&dq=isbn:9781119803164&hl=&source=gbs_api	1
