Issue key	Created	Updated	Custom field (GUID)	Custom field (Number of attachments)	Custom field (DATA ISSUE Severity)	Status	Assignee	Summary	ISBN
WELCM-29476	2020-01-24 16:43	2023-11-28 22:01	30d70203-c0c6-4154-aa85-d7b1c4fc1930	0.0		In Progress	WCMR_FastTrack_corrections	LPIC-1: Practice Tests, 2nd Edition tb611097.LPIC1PT.1.04.82	9781119611097
WELCM-55027	2021-11-20 17:46	2024-01-12 17:17	8e2ac285-0fdd-4869-bafe-ee77229af9b4	1.0	Major	In Progress	WCMR_FastTrack_corrections	OCA Java SE 8 Programmer I Study Guide tb957400.JaSE8PrI.SG.be2.17	9781118957400
WELCM-56146	2021-12-03 2:22	2024-01-12 16:46	2fbd6f7d-00bd-4b3b-bfbd-b9c30264bcbd	0.0	Major	Open	WCMR_FastTrack_corrections	(ISC)² CISSP Official Practice Tests, Third Edition tb787631.CISSPPT3E.c02.078	9781119787631
WELCM-57707	2022-01-12 10:37	2024-01-08 15:14	9696eb51-d0f5-4275-8e7e-b2ee026fe3e0	2.0	Major	In Progress	WCMR_FastTrack_corrections	(ISC)2 SSCP Official Practice Tests, Second Edition tb852070.SSCPPT2E.c06.30	9781119852070
WELCM-58432	2022-02-03 1:13	2024-01-12 17:16	9cf8bc96-f8b1-432a-a887-f934f17f9727	1.0	Major	Open	pmikhailov	(ISC)² CISSP Official Study Guide, Ninth Edition tb786238.CISSPSG9E.pe2.043	9781119786238
WELCM-58577	2022-02-08 1:16	2023-11-01 0:05	2fbd6f7d-00bd-4b3b-bfbd-b9c30264bcbd	0.0	Major	Open	WCMR_FastTrack_corrections	(ISC)² CISSP Official Practice Tests, Third Edition tb787631.CISSPPT3E.pt1.051	9781119787631
WELCM-58581	2022-02-08 1:16	2023-08-26 16:32	2fbd6f7d-00bd-4b3b-bfbd-b9c30264bcbd	0.0	Major	Open	WCMR_FastTrack_corrections	(ISC)² CISSP Official Practice Tests, Third Edition tb787631.CISSPPT3E.pt1.081	9781119787631
WELCM-59634	2022-03-21 0:21	2023-10-11 13:26	a0a4c2a5-78a0-4402-8277-2ca32122f2ca	0.0	Major	Open	WCMR_FastTrack_corrections	Microsoft Certified Azure Fundamentals Study Guide: Exam AZ-900 tb770923.AzFuSG.c02.06	9781119770923
WELCM-59639	2022-03-21 0:21	2024-01-23 17:57	e0d60505-0e7f-48ec-b826-8283c2b6c728	0.0	Major	Open	WCMR_FastTrack_corrections	CASP+ Practice Tests, 2nd Edition tb813057.CASPPlPT2E.c04.100	not for migration
WELCM-59702	2022-03-23 0:15	2023-10-11 13:25	9af8f4e6-0ee9-47de-afff-a61069df98bb	0.0	Major	Open	WCMR_FastTrack_corrections	PHR/SPHR Complete Study Guide, 5th Edition tb426738.PHRSPHRDSG2E.c05.19	9781119426738
WELCM-60020	2022-04-06 1:13	2024-01-12 18:20	8e2ac285-0fdd-4869-bafe-ee77229af9b4	2.0	Major	Open	pmikhailov	OCA Java SE 8 Programmer I Study Guide tb957400.JaSE8PrI.SG.c04.09	9781118957400
WELCM-61003	2022-05-13 1:14	2023-10-11 13:26	fd4aead9-50ee-494a-bd11-2c0d718bc063	0.0	Major	Open	WCMR_FastTrack_corrections	IAPP CIPP Certified Information Privacy Professional Study Guide tb755463.IAPPCIPPSG.at.08	9781119755463
WELCM-61006	2022-05-13 1:14	2024-01-25 11:48	72570581-6b25-4e07-925c-175e334f62a2	0.0	Major	Open	WCMR_FastTrack_corrections	SHRM Society for Human Resource Management Complete Study Guide tb805489.SHRMSG.pe1.12	9781119805489
WELCM-61195	2022-05-20 1:16	2024-01-12 18:09	8d9a421f-c630-438b-84fd-776962a921d6	1.0	Major	Open	pmikhailov	CompTIA A+ Complete Review Guide, 5th Edition tb861072.AplRG5E.pe3.49	9781119861072
WELCM-61303	2022-05-24 1:17	2023-10-27 12:16	2fbd6f7d-00bd-4b3b-bfbd-b9c30264bcbd	0.0	Major	Open	WCMR_FastTrack_corrections	(ISC)² CISSP Official Practice Tests, Third Edition tb787631.CISSPPT3E.pt1.094	9781119787631
WELCM-61799	2022-06-09 1:18	2023-12-21 1:05	c73e1564-c936-497b-b2ce-500a01ed2c9e	2.0	Major	In Progress	WCMR_FastTrack_corrections	CompTIA Network+ Deluxe Study Guide, 5th Edition tb811633.NetPlSG5E.c23.20	9781119811633
WELCM-61855	2022-06-13 1:17	2024-01-12 17:37	770782f3-e22b-4f69-b898-0c4d57b59a17	2.0	Major	Open	pmikhailov	OCP Java SE 17 Developer Study Guide tb864585.JaSE17SG.c09.07	9781119864585
WELCM-61978	2022-06-17 1:16	2023-12-11 14:30	166ffb56-eaf3-4dc8-b382-56fcb3f87390	1.0	Major	In Progress	WCMR_FastTrack_corrections	CompTIA Network+ Practice Tests, 2nd Edition tb807308.NetplPT2E.pt1.087	9781119807308
WELCM-62079	2022-06-20 1:30	2024-01-12 17:20	8d9a421f-c630-438b-84fd-776962a921d6	2.0	Major	Open	pmikhailov	CompTIA A+ Complete Review Guide, 5th Edition tb861072.AplRG5E.p1c03.09	9781119861072
WELCM-62154	2022-06-23 1:16	2024-01-25 12:02	b1ac057a-132e-42bc-a8b6-1d2f4b8b889b	0.0	Major	Open	WCMR_FastTrack_corrections	CompTIA Security+ Study Guide 8E tb736257.SecPl.SG8E.c12.06	not for migration
WELCM-62975	2022-07-26 13:55	2024-01-12 18:17	8d9a421f-c630-438b-84fd-776962a921d6	1.0	Major	Open	pmikhailov	CompTIA A+ Complete Review Guide, 5th Edition tb861072.AplRG5E.pe1.21	9781119861072
WELCM-62995	2022-07-27 1:15	2024-01-12 18:08	8d9a421f-c630-438b-84fd-776962a921d6	2.0	Major	Open	pmikhailov	CompTIA A+ Complete Review Guide, 5th Edition tb861072.AplRG5E.p1c03.24	9781119861072
WELCM-63213	2022-08-08 1:17	2023-12-15 1:05	6d2c2906-d636-46ac-a67e-c7a5abc88549	0.0	Major	Open	WCMR_FastTrack_corrections	CCNA Certification Study Guide tb659181.CCNACert.SG.c22.20	9781119659181
WELCM-63278	2022-08-09 1:11	2024-01-25 12:03	b1ac057a-132e-42bc-a8b6-1d2f4b8b889b	0.0	Major	Open	WCMR_FastTrack_corrections	CompTIA Security+ Study Guide 8E tb736257.SecPl.SG8E.c12.17	not for migration
WELCM-63286	2022-08-09 1:11	2023-07-27 12:28	fae00299-b0ea-4808-aaa9-3a23c4170bb5	0.0	Major	Open	WCMR_FastTrack_corrections	MCA Microsoft 365 Azure Administrator Study Guide tb705154.AzAdSG.pe2.47	9781119705154
WELCM-63565	2022-08-18 1:10	2023-12-11 14:03	537f54c6-1761-4d64-be12-b9b7b9f632fb	1.0	Major	In Progress	WCMR_FastTrack_corrections	CompTIA A+ Complete Study Guide, 5th Edition tb862918.AplSG5E.pe7.24	9781119862918
WELCM-63696	2022-08-22 19:39	2022-12-22 14:03	fe1d75f3-dbeb-4c4d-9138-cff0f244e9a2	0.0	Major	Open	WCMR_FastTrack_corrections	Google Cloud Certified Professional Cloud Architect Study Guide, 2nd Edition tb871057.GoCCPCASG2E.c11.12	9781119871057
WELCM-63832	2022-08-29 1:12	2023-04-11 16:30	082fa2e2-8fb2-4078-a2e0-2f50e716ce64	0.0	Major	Open	WCMR_FastTrack_corrections	CCNA Certification Practice Tests: Exam 200-301 tb669883.CCNAPT.c04.031	9781119669883
WELCM-64352	2022-09-14 1:09	2023-11-13 1:07	2fbd6f7d-00bd-4b3b-bfbd-b9c30264bcbd	0.0	Major	Open	WCMR_FastTrack_corrections	(ISC)² CISSP Official Practice Tests, Third Edition tb787631.CISSPPT3E.c07.049	9781119787631
WELCM-64428	2022-09-19 1:15	2024-01-12 18:10	8d9a421f-c630-438b-84fd-776962a921d6	1.0	Major	Open	pmikhailov	CompTIA A+ Complete Review Guide, 5th Edition tb861072.AplRG5E.pe3.08	9781119861072
WELCM-64441	2022-09-19 1:16	2023-09-15 1:06	61c9fad5-39ef-45c0-bd94-72cdeb569612	0.0	Major	Open	WCMR_FastTrack_corrections	CompTIA Data+ Study Guide tb845256.DataPlSG.c03.05	9781119845256
WELCM-64506	2022-09-21 1:08	2024-01-08 1:06	61c9fad5-39ef-45c0-bd94-72cdeb569612	0.0	Major	Open	WCMR_FastTrack_corrections	CompTIA Data+ Study Guide tb845256.DataPlSG.pe1.60	9781119845256
WELCM-64533	2022-09-22 1:09	2024-01-25 12:58	61c9fad5-39ef-45c0-bd94-72cdeb569612	0.0	Major	Open	WCMR_FastTrack_corrections	CompTIA Data+ Study Guide tb845256.DataPlSG.pe2.55	9781119845256
WELCM-64690	2022-09-29 1:09	2023-08-18 1:06	d9fdbe88-8bcd-499c-963d-8a8c9723e8dd	0.0	Major	Open	WCMR_FastTrack_corrections	AWS CSA Study Guide 4E: Associate Exam: SAA-C03 982623.AWSCML.PE03.002	9781119982623
WELCM-64823	2022-10-04 1:08	2023-11-24 1:04	2fbd6f7d-00bd-4b3b-bfbd-b9c30264bcbd	0.0	Major	Open	WCMR_FastTrack_corrections	(ISC)² CISSP Official Practice Tests, Third Edition tb787631.CISSPPT3E.c02.093	9781119787631
WELCM-64928	2022-10-10 1:13	2024-01-18 4:06	52f99826-4082-462e-be3c-15d77a7b25d1	0.0	Major	Open	WCMR_FastTrack_corrections	(ISC)2 CCSP Certified Cloud Security Professional Official Practice Tests, 3rd Edition tb909408.CCSPPT3E.c05.015	9781119909408
WELCM-64937	2022-10-10 1:14	2023-09-29 1:06	52f99826-4082-462e-be3c-15d77a7b25d1	0.0	Major	Open	WCMR_FastTrack_corrections	(ISC)2 CCSP Certified Cloud Security Professional Official Practice Tests, 3rd Edition tb909408.CCSPPT3E.pt2.009	9781119909408
WELCM-65008	2022-10-12 1:10	2023-07-28 1:17	52f99826-4082-462e-be3c-15d77a7b25d1	0.0	Major	Open	WCMR_FastTrack_corrections	(ISC)2 CCSP Certified Cloud Security Professional Official Practice Tests, 3rd Edition tb909408.CCSPPT3E.c06.030	9781119909408
WELCM-65019	2022-10-13 1:09	2023-07-27 12:53	fae00299-b0ea-4808-aaa9-3a23c4170bb5	0.0	Major	Open	WCMR_FastTrack_corrections	MCA Microsoft 365 Azure Administrator Study Guide tb705154.AzAdSG.c06.01	9781119705154
WELCM-65027	2022-10-13 1:09	2024-01-23 16:14	fae00299-b0ea-4808-aaa9-3a23c4170bb5	0.0	Major	Open	WCMR_FastTrack_corrections	MCA Microsoft 365 Azure Administrator Study Guide tb705154.AzAdSG.pe2.26	9781119705154
WELCM-65052	2022-10-14 1:09	2024-01-08 1:06	52f99826-4082-462e-be3c-15d77a7b25d1	0.0	Major	Open	WCMR_FastTrack_corrections	(ISC)2 CCSP Certified Cloud Security Professional Official Practice Tests, 3rd Edition tb909408.CCSPPT3E.c02.013	9781119909408
WELCM-65073	2022-10-17 1:12	2023-12-01 1:06	fae00299-b0ea-4808-aaa9-3a23c4170bb5	0.0	Major	Open	WCMR_FastTrack_corrections	MCA Microsoft 365 Azure Administrator Study Guide tb705154.AzAdSG.pe1.41	9781119705154
WELCM-65091	2022-10-17 1:20	2024-01-03 1:05	2fbd6f7d-00bd-4b3b-bfbd-b9c30264bcbd	0.0	Major	Open	WCMR_FastTrack_corrections	(ISC)² CISSP Official Practice Tests, Third Edition tb787631.CISSPPT3E.pt4.077	9781119787631
WELCM-65151	2022-10-18 1:10	2023-10-27 11:59	6dfde898-c5d5-4b71-8e26-d84d26a57974	0.0	Major	Open	WCMR_FastTrack_corrections	CISM Certified Information Security Manager Study Guide tb801931.CISMSG.pe2.066	9781119801931
WELCM-65658	2022-11-04 0:12	2024-01-25 12:58	c9b58801-d0f6-490e-8b22-121ce17addcf	0.0	Major	Open	WCMR_FastTrack_corrections	CompTIA Linux+ Practice Tests, Third Edition tb879619.LinuxplPT3E.c02.091	9781119879619
WELCM-65674	2022-11-07 1:13	2023-11-30 1:05	d9fdbe88-8bcd-499c-963d-8a8c9723e8dd	0.0	Major	Open	WCMR_FastTrack_corrections	AWS CSA Study Guide 4E: Associate Exam: SAA-C03 982623.AWSCML.PE02.132	9781119982623
WELCM-65732	2022-11-07 1:19	2023-12-18 1:04	d9fdbe88-8bcd-499c-963d-8a8c9723e8dd	0.0	Major	Open	WCMR_FastTrack_corrections	AWS CSA Study Guide 4E: Associate Exam: SAA-C03 982623.AWSCSA.SG4E.p1c03.008	9781119982623
WELCM-65733	2022-11-07 1:19	2023-08-26 16:32	d9fdbe88-8bcd-499c-963d-8a8c9723e8dd	0.0	Major	Open	WCMR_FastTrack_corrections	AWS CSA Study Guide 4E: Associate Exam: SAA-C03 982623.AWSCML.PE03.201	9781119982623
WELCM-65872	2022-11-14 1:14	2023-10-10 1:05	52f99826-4082-462e-be3c-15d77a7b25d1	0.0	Major	Open	WCMR_FastTrack_corrections	(ISC)2 CCSP Certified Cloud Security Professional Official Practice Tests, 3rd Edition tb909408.CCSPPT3E.c04.076	9781119909408
WELCM-65878	2022-11-14 1:14	2023-04-11 16:30	d9fdbe88-8bcd-499c-963d-8a8c9723e8dd	0.0	Major	Open	WCMR_FastTrack_corrections	AWS CSA Study Guide 4E: Associate Exam: SAA-C03 982623.AWSCML.PE01.306	9781119982623
WELCM-65887	2022-11-14 1:15	2023-08-29 1:08	e84ac15d-3794-4df4-9880-3533551bc1f5	0.0	Major	Open	WCMR_FastTrack_corrections	CEH v11 Certified Ethical Hacker Study Guide tb800286.CEHv11SG.pe1.073	9781119800286
WELCM-65930	2022-11-14 1:19	2023-08-26 16:33	52f99826-4082-462e-be3c-15d77a7b25d1	0.0	Major	Open	WCMR_FastTrack_corrections	(ISC)2 CCSP Certified Cloud Security Professional Official Practice Tests, 3rd Edition tb909408.CCSPPT3E.c06.087	9781119909408
WELCM-65956	2022-11-16 6:54	2024-01-23 17:52	9c683373-2f4b-436a-91aa-0d273629cfda	0.0	Major	Open	WCMR_FastTrack_corrections	(ISC)2 CCSP Certified Cloud Security Professional Official Study Guide, 3rd Edition tb909378.CCSPSG3E.c05.002	9781119909378
WELCM-66001	2022-11-16 6:59	2023-10-06 1:05	d9fdbe88-8bcd-499c-963d-8a8c9723e8dd	0.0	Major	Open	WCMR_FastTrack_corrections	AWS CSA Study Guide 4E: Associate Exam: SAA-C03 982623.AWSCML.PE01.019	9781119982623
WELCM-66018	2022-11-16 7:01	2024-01-25 11:48	72570581-6b25-4e07-925c-175e334f62a2	0.0	Major	Open	WCMR_FastTrack_corrections	SHRM Society for Human Resource Management Complete Study Guide tb805489.SHRMSG.p3c09.10	9781119805489
WELCM-66122	2022-11-21 5:56	2023-11-13 1:05	52f99826-4082-462e-be3c-15d77a7b25d1	0.0	Major	Open	WCMR_FastTrack_corrections	(ISC)2 CCSP Certified Cloud Security Professional Official Practice Tests, 3rd Edition tb909408.CCSPPT3E.c05.072	9781119909408
WELCM-66279	2022-11-28 1:15	2023-08-26 16:32	d9fdbe88-8bcd-499c-963d-8a8c9723e8dd	0.0	Major	Open	WCMR_FastTrack_corrections	AWS CSA Study Guide 4E: Associate Exam: SAA-C03 982623.AWSCML.PE01.065	9781119982623
WELCM-66323	2022-11-30 1:10	2023-08-26 16:32	d9fdbe88-8bcd-499c-963d-8a8c9723e8dd	0.0	Major	Open	WCMR_FastTrack_corrections	AWS CSA Study Guide 4E: Associate Exam: SAA-C03 982623.AWSCML.PE02.082	9781119982623
WELCM-66353	2022-11-30 1:13	2023-10-27 11:44	534b4712-3557-4927-8f2f-96c0a17a1501	0.0	Major	Open	WCMR_FastTrack_corrections	CompTIA Cloud+ Study Guide, Third Edition tb810865.CloudPlSG3E.c01.13	9781119810865
WELCM-66399	2022-12-02 1:11	2024-01-22 1:07	d9fdbe88-8bcd-499c-963d-8a8c9723e8dd	0.0	Major	Open	WCMR_FastTrack_corrections	AWS CSA Study Guide 4E: Associate Exam: SAA-C03 982623.AWSCML.PE03.055	9781119982623
WELCM-66407	2022-12-02 1:12	2023-12-01 1:05	d9fdbe88-8bcd-499c-963d-8a8c9723e8dd	0.0	Major	Open	WCMR_FastTrack_corrections	AWS CSA Study Guide 4E: Associate Exam: SAA-C03 982623.AWSCML.PE02.121	9781119982623
WELCM-66428	2022-12-02 12:43	2024-01-23 1:05		5.0	Major	In Progress	WCMR_FastTrack_corrections	CompTIA Network+Study Guide: 5th Edition tb811633.NetPlSG5E.c21.05	9781119811633
WELCM-66437	2022-12-05 1:13	2023-04-11 17:03	d9fdbe88-8bcd-499c-963d-8a8c9723e8dd	0.0	Major	Open	WCMR_FastTrack_corrections	AWS CSA Study Guide 4E: Associate Exam: SAA-C03 982623.AWSCML.PE03.112	9781119982623
WELCM-66447	2022-12-05 1:14	2023-04-11 17:04	d9fdbe88-8bcd-499c-963d-8a8c9723e8dd	0.0	Major	Open	WCMR_FastTrack_corrections	AWS CSA Study Guide 4E: Associate Exam: SAA-C03 982623.AWSCML.PE03.069	9781119982623
WELCM-66449	2022-12-05 1:14	2023-07-27 12:45	d9fdbe88-8bcd-499c-963d-8a8c9723e8dd	0.0	Major	Open	WCMR_FastTrack_corrections	AWS CSA Study Guide 4E: Associate Exam: SAA-C03 982623.AWSCML.PE01.035	9781119982623
WELCM-66492	2022-12-05 1:18	2023-04-11 16:33	d9fdbe88-8bcd-499c-963d-8a8c9723e8dd	0.0	Major	Open	WCMR_FastTrack_corrections	AWS CSA Study Guide 4E: Associate Exam: SAA-C03 982623.AWSCML.PE01.013	9781119982623
WELCM-66501	2022-12-05 1:19	2023-08-26 16:32	2fbd6f7d-00bd-4b3b-bfbd-b9c30264bcbd	0.0	Major	Open	WCMR_FastTrack_corrections	(ISC)² CISSP Official Practice Tests, Third Edition tb787631.CISSPPT3E.pt3.068	9781119787631
WELCM-66817	2022-12-20 1:12	2023-09-07 1:07	d9fdbe88-8bcd-499c-963d-8a8c9723e8dd	0.0	Major	Open	WCMR_FastTrack_corrections	AWS CSA Study Guide 4E: Associate Exam: SAA-C03 982623.AWSCSA.SG4E.p1c05.021	9781119982623
WELCM-66844	2022-12-21 1:11	2023-04-11 17:02	d9fdbe88-8bcd-499c-963d-8a8c9723e8dd	0.0	Major	Open	WCMR_FastTrack_corrections	AWS CSA Study Guide 4E: Associate Exam: SAA-C03 982623.AWSCML.PE01.109	9781119982623
WELCM-66864	2022-12-21 20:48	2024-01-23 14:59		0.0	Major	Open	WCMR_FastTrack_corrections	CompTIA Network+ Study Guide, 5th Edition tb811633.NetPlSG5E	9781119811633
WELCM-66865	2022-12-22 1:08	2024-01-15 1:07	d9fdbe88-8bcd-499c-963d-8a8c9723e8dd	0.0	Major	Open	WCMR_FastTrack_corrections	AWS CSA Study Guide 4E: Associate Exam: SAA-C03 982623.AWSCML.PE01.286	9781119982623
WELCM-66889	2022-12-23 1:10	2024-01-22 1:06	d9fdbe88-8bcd-499c-963d-8a8c9723e8dd	0.0	Major	Open	WCMR_FastTrack_corrections	AWS CSA Study Guide 4E: Associate Exam: SAA-C03 982623.AWSCML.PE04.021	9781119982623
WELCM-67026	2022-12-29 1:13	2023-12-11 13:59	537f54c6-1761-4d64-be12-b9b7b9f632fb	1.0	Major	Open	pmikhailov	CompTIA A+ Complete Study Guide, 5th Edition tb862918.AplSG5E.pe7.48	9781119862918
